french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Martinet noir;Martinet noir;2014;2023;-0.024995451;0.009096617;-0.042824819;-0.007166082;0.975314349;0.958079212;0.992859533;-20.10%;-32%;-6.20%;0.006000127;Déclin modéré;Déclin modéré;STOC;odj;Different
Martinet noir;Martinet noir;2014;2023;0.003819911;0.007038249;-0.009975056;0.017614879;1.003827216;0.99007453;1.017770935;3.50%;-8.60%;17.20%;0.587311563;Stable;Stable;ODJ;odj;Different
Merle noir;Merle noir;2014;2023;-0.001884413;0.002659347;-0.007096733;0.003327908;0.998117362;0.992928389;1.003333451;-1.70%;-6.20%;3%;0.478572859;Stable;Stable;ODJ;odj;Different
Merle noir;Merle noir;2014;2023;-0.012205053;0.001977386;-0.01608073;-0.008329377;0.987869126;0.984047875;0.991705216;-10.40%;-13.50%;-7.20%;6.73E-10;Déclin modéré;Déclin modéré;STOC;odj;Different
Milan noir;Milan noir;2014;2023;0.015450117;0.026308375;-0.036114298;0.067014532;1.015570087;0.964530043;1.069311018;14.90%;-27.70%;82.80%;0.557022443;Incertain;Incertain;ODJ;autre;Incertain
Milan noir;Milan noir;2014;2023;0.044784366;0.007838688;0.029420537;0.060148194;1.045802325;1.029857597;1.061993916;49.60%;30.30%;71.80%;1.11E-08;Augmentation modérée à forte;Augmentation modérée;STOC;autre;Incertain
Milan royal;Milan royal;2014;2023;0.078755065;0.043396553;-0.006302179;0.163812309;1.081939285;0.993717638;1.177993196;103.20%;-5.50%;336.80%;0.06955819;Incertain;Incertain;ODJ;autre;Incertain
Milan royal;Milan royal;2014;2023;0.147744853;0.024414724;0.099891995;0.195597712;1.159217088;1.10505156;1.216037609;278%;145.70%;481.50%;1.44E-09;Augmentation forte;Forte augmentation;STOC;autre;Incertain
Moineau domestique;Moineau domestique;2014;2023;0.02465229;0.003364432;0.018058003;0.031246577;1.02495867;1.018222034;1.031739875;24.80%;17.60%;32.50%;2.35E-13;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Moineau domestique;Moineau domestique;2014;2023;0.036314936;0.003389657;0.029671208;0.042958664;1.036982378;1.030115784;1.043894744;38.70%;30.60%;47.20%;8.80E-27;Augmentation forte;Augmentation modérée;STOC;odj;Similaire
