",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"61,""Grive musicienne"",""TURPHI"",2014,2023,0.0110167114705626,0.00952928793089459,-0.0076606928739908,0.029694115815116,1.0110776188974,0.992368575447436,1.03013938241073,""+10.4%"",""-6.7%"",""+30.6%"",0.247644475264127,""Incertain"",""Stable"""
"62,""Aigrette garzette"",""EGRGAR"",2014,2023,0.0107358635596904,0.0323994139334312,-0.0527669877498345,0.0742387148692155,1.01079369973132,0.948601022391027,1.07706388597521,""+10.1%"",""-37.8%"",""+95.1%"",0.740372720648681,""Incertain"",""Incertain"""
"63,""Râle d'eau"",""RALAQU"",2014,2023,0.00984040343890323,0.0320212930643216,-0.0529213309671671,0.0726021378449735,1.00988897941381,0.94845462355539,1.07530262957477,""+9.3%"",""-37.9%"",""+92.2%"",0.758608854071934,""Incertain"",""Incertain"""
"64,""Sarcelle d'hiver"",""ANACRE"",2014,2023,0.00971727095465582,0.0539996076363665,-0.0961219600126226,0.115556501921934,1.00976463693041,0.908353226541923,1.1224979360473,""+9.1%"",""-57.9%"",""+182.9%"",0.85719121729848,""Incertain"",""Incertain"""
"65,""Pic vert"",""PICVIR"",2014,2023,0.00945578066612334,0.00560489932140186,-0.00152982200382432,0.0204413833360708,1.00950062780357,0.998471347577364,1.02065173928973,""+8.9%"",""-1.4%"",""+20.2%"",0.0915925283585576,""Stable"",""Stable"""
"66,""Mésange à longue queue"",""AEGCAU"",2014,2023,0.00771419475506373,0.0094275405913188,-0.0107637848039211,0.0261921743140486,1.00774402581362,0.989293937438831,1.02653820379429,""+7.2%"",""-9.2%"",""+26.6%"",0.413207809183425,""Stable"",""Stable"""
"67,""Pinson des arbres"",""FRICOE"",2014,2023,0.00574372890884349,0.0074191779185739,-0.00879785981156142,0.0202853176292482,1.00576025574647,0.991240728110443,1.02049246298373,""+5.3%"",""-7.6%"",""+20%"",0.438828358672382,""Stable"",""Stable"""
"68,""Bécassine des marais"",""GALGAL"",2014,2023,0.00480552358085256,0.0494239664451447,-0.092065450651631,0.101676497813336,1.00481708862724,0.912045453622287,1.10702528869298,""+4.4%"",""-56.3%"",""+149.7%"",0.922543241061861,""Incertain"",""Incertain"""
"69,""Moineau domestique"",""PASDOM"",2014,2023,0.00470690355426501,0.00656533493390357,-0.00816115291618599,0.017574960024716,1.00471799842547,0.991872058882008,1.01773030838059,""+4.3%"",""-7.1%"",""+17.1%"",0.473415600009867,""Stable"",""Stable"""
"70,""Mésange bleue"",""PARCAE"",2014,2023,0.00469814411724351,0.00451840784659427,-0.00415793526208116,0.0135542234965683,1.00470919769998,0.995850696982492,1.01364649841751,""+4.3%"",""-3.7%"",""+13%"",0.298442739443909,""Stable"",""Stable"""
